appid,name,playtime_forever,playtime_windows_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,has_community_visible_stats,playtime_2weeks,has_leaderboards
216090,Go Home Dinosaurs!,0,0,0,0,0,0,True,,
232790,Broken Age,636,565,70,70,1729970370,0,True,,
224480,Octodad: Dadliest Catch,211,0,0,0,1515277655,0,True,,
282070,This War of Mine,0,0,0,0,0,0,True,,
285160,LEGO® The Hobbit™,0,0,0,0,0,0,True,,
286000,Tooth and Tail,0,0,0,0,0,0,True,,True
286570,F1 2015,0,0,0,0,0,0,True,,True
288470,Fable Anniversary,0,0,0,0,0,0,True,,
34270,SEGA Mega Drive & Genesis Classics,0,0,0,0,0,0,True,,
238460,BattleBlock Theater,239,178,14,14,1724182691,0,True,,True
280740,Aperture Tag: The Paint Gun Testing Initiative,152,152,0,0,1608584541,0,,,
312520,Rain World,145,0,145,145,1729310973,0,True,,
265590,The Red Solstice,0,0,0,0,0,0,True,,True
317400,Portal Stories: Mel,472,0,0,0,1522199983,0,True,,
318600,The Flame in the Flood,0,0,0,0,0,0,True,,
320040,Moon Hunters,0,0,0,0,0,0,True,,
323670,Super Indie Karts,0,0,0,0,0,0,,,
241930,Middle-earth™: Shadow of Mordor™,0,0,0,0,0,0,True,,
323220,Vagante,0,0,0,0,0,0,True,,
258970,Gauntlet™ ,0,0,0,0,0,0,True,,
327070,Gloria Victis,0,0,0,0,0,0,True,,
15700,Oddworld: Abe's Oddysee,0,0,0,0,0,0,,,
331670,The Jackbox Party Pack,34,34,0,0,1641012980,0,True,,
305620,The Long Dark,0,0,0,0,0,0,True,,
334940,Yoku's Island Express,0,0,0,0,0,0,True,,
349730,Popup Dungeon,0,0,0,0,0,0,True,,
354430,STAR WARS™: X-Wing Special Edition,563,0,0,0,1462576053,0,,,
355250,STAR WARS™: TIE Fighter Special Edition,27,0,0,0,1517016388,0,,,
356500,STAR WARS™ Galactic Battlegrounds Saga,0,0,0,0,0,0,,,
359840,Shift Happens,0,0,0,0,0,0,True,,
361670,STAR WARS™: X-Wing Alliance™,11,11,0,0,1608007233,0,,,
361690,STAR WARS™ X-Wing vs TIE Fighter: Balance of Power Campaigns™,14,14,0,0,1608051658,0,,,
365670,Blender,156,156,0,0,1696880525,0,,,
238370,Magicka 2,1127,173,0,0,1626052979,0,True,,
397080,Magicka 2: Spell Balance Beta,0,0,0,0,0,0,True,,
291550,Brawlhalla,40,40,0,0,1678393109,0,True,,
391720,Layers of Fear (2016),0,0,0,0,0,0,True,,
397460,The Jackbox Party Pack 2,160,160,0,0,1679872329,0,True,,
400250,Heaven Island - VR MMO,0,0,0,0,0,0,True,,
365450,Hacknet,330,330,0,0,1609614801,0,True,,
404540,Nex Machina,0,0,0,0,0,0,True,,
410700,System Shock: Classic,0,0,0,0,0,0,,,
410710,System Shock: Enhanced Edition,0,0,0,0,0,0,True,,
413150,Stardew Valley,2203,0,2203,2203,1729559361,0,True,,
418270,Draw Slasher,0,0,0,0,0,0,True,,
434170,The Jackbox Party Pack 3,486,486,0,0,1688173175,0,True,,
438640,LEGO® STAR WARS™: The Force Awakens,146,0,0,0,1522448392,0,True,,
441550,STAR WARS™ Rebellion,0,0,0,0,0,0,,,
442070,Drawful 2,20,20,0,0,1641012273,0,True,,
445190,Expeditions: Viking,0,0,0,0,0,0,True,,
445980,Wizard of Legend,0,0,0,0,0,0,True,,
448080,Fibbage XL,0,0,0,0,0,0,True,,
448510,Overcooked,0,0,0,0,0,0,True,,
465200,Fury Unleashed,0,0,0,0,0,0,True,,True
471810,Death Squared,317,0,317,317,1714004855,1,True,,
474960,Quantum Break,0,0,0,0,0,0,True,,
489830,The Elder Scrolls V: Skyrim Special Edition,0,0,0,0,0,0,True,,
494430,Praey for the Gods,0,0,0,0,0,0,True,,
503560,911 Operator,0,0,0,0,0,0,True,,
510050,You Have 10 Seconds,0,0,0,0,0,0,,,
516110,ToeJam & Earl: Back in the Groove,0,0,0,0,0,0,True,,
521880,RPG Maker VX,0,0,0,0,0,0,,,
526870,Satisfactory,0,0,0,0,0,0,True,,
530320,Wandersong,0,0,0,0,0,0,True,,
530930,Soulblight,0,0,0,0,0,0,True,,True
546430,Pathway,0,0,0,0,0,0,True,,
548430,Deep Rock Galactic,462,0,462,462,1726201335,1024,True,,True
572890,Pikuniku,0,0,0,0,0,0,True,,
579720,Neverout,0,0,0,0,0,0,,,
601360,Portal: Revolution,0,0,0,0,0,0,True,,
607050,Wargroove,0,0,0,0,0,0,True,,
610180,The Jackbox Party Pack 4,0,0,0,0,0,0,True,,
622890,NecroWorm,0,0,0,0,0,0,True,,
631770,Pixplode,0,0,0,0,0,0,True,,
636070,Corridor Z,0,0,0,0,0,0,True,,
392110,ENDLESS™ Space 2,0,0,0,0,0,0,True,,
645630,Car Mechanic Simulator 2018,0,0,0,0,0,0,True,,
646570,Slay the Spire,0,0,0,0,0,0,True,,True
218620,PAYDAY 2,0,0,0,0,0,0,True,,
673190,All-Star Fruit Racing,63,24,38,38,1704258433,0,True,,
323580,Jotun: Valhalla Edition,0,0,0,0,0,0,True,,
414340,Hellblade: Senua's Sacrifice,0,0,0,0,0,0,True,,
747350,Hellblade: Senua's Sacrifice VR Edition,0,0,0,0,0,0,True,,
701160,Kingdom Two Crowns,0,0,0,0,0,0,True,,
718650,Driftland: The Magic Revival,0,0,0,0,0,0,True,,
723100,Orbital Racer,0,0,0,0,0,0,,,
748300,Treasure Hunter Simulator,0,0,0,0,0,0,True,,
757310,Sable,0,0,0,0,0,0,True,,
231430,Company of Heroes 2,0,0,0,0,0,0,True,,
368230,Kingdom: Classic,0,0,0,0,0,0,True,,
767360,Monster League,97,97,0,0,1680479561,0,,,
774461,The Jackbox Party Pack 5,37,37,0,0,1688175402,0,True,,
785890,Hexologic,0,0,0,0,0,0,True,,
793460,112 Operator,0,0,0,0,0,0,True,,
209670,Cortex Command,167,167,0,0,1582249831,0,True,,
464920,Surviving Mars,0,0,0,0,0,0,True,,
803330,Destroy All Humans!,1154,1154,0,0,1640936549,0,True,,
813630,Supraland,0,0,0,0,0,0,True,,
834450,Roarr! Jurassic Edition,0,0,0,0,0,0,True,,
844260,Rustler,0,0,0,0,0,0,True,,
846030,ΔV: Rings of Saturn,0,0,0,0,0,0,True,,True
847370,Sunset Overdrive,0,0,0,0,0,0,True,,
867400,Out of Reach: Treasure Royale,0,0,0,0,0,0,True,,
870780,Control Ultimate Edition,0,0,0,0,0,0,True,,
871530,Radio Commander,0,0,0,0,0,0,True,,
873940,Crying Suns,0,0,0,0,0,0,True,,
356190,Middle-earth™: Shadow of War™,0,0,0,0,0,0,True,,
714010,Aimlabs,17,0,17,17,1712435487,0,True,,True
905340,Heave Ho,1115,879,235,235,1722874920,0,True,,
916100,Telefrag VR,0,0,0,0,0,0,True,,
304390,For Honor,0,0,0,0,0,0,,,
654310,For Honor - Public Test,0,0,0,0,0,0,,,
938560,INMOST,0,0,0,0,0,0,True,,
966330,Flower,0,0,0,0,0,0,True,,
990080,Hogwarts Legacy,156,156,0,0,1678670837,0,True,,
993090,Lossless Scaling,25,25,0,0,1724103338,0,,,
996580,Spyro™ Reignited Trilogy,395,395,0,0,1660247097,0,True,,
449960,Book of Demons,0,0,0,0,0,0,True,,True
998740,Ring of Pain,0,0,0,0,0,0,True,,
412020,Metro Exodus,0,0,0,0,0,0,True,,
1449560,Metro Exodus Enhanced Edition,0,0,0,0,0,0,True,,
1005300,The Jackbox Party Pack 6,124,124,0,0,1637888031,0,True,,
1016790,West of Dead,0,0,0,0,0,0,True,,
1026420,WARSAW RISING: City of Heroes,0,0,0,0,0,0,True,,
1040420,Dreamscaper,0,0,0,0,0,0,True,,
1042490,Call of the Sea,0,0,0,0,0,0,True,,
1058020,"STAR WARS™ Battlefront (Classic, 2004)",781,763,18,18,1695588843,0,,,
1061180,Crumble,111,0,111,111,1704301676,20,True,,True
1069030,EarthX,0,0,0,0,0,0,True,,
1078760,Motorcycle Mechanic Simulator 2021,0,0,0,0,0,0,True,,
1085510,Garfield Kart - Furious Racing,0,0,0,0,0,0,True,,True
1103730,Shing!,0,0,0,0,0,0,True,,
976730,Halo: The Master Chief Collection,181,181,0,0,1618794654,0,True,,
1128810,RISK: Global Domination,6,6,0,0,1639964803,0,True,,
1142080,Pawnbarian,0,0,0,0,0,0,True,,
1154810,Going Under,0,0,0,0,0,0,True,,
1085660,Destiny 2,0,0,0,0,0,0,True,,
1186640,Pumpkin Jack,40,0,40,40,1729535796,0,True,,
1191900,Say No! More,0,0,0,0,0,0,True,,
408410,X-Morph: Defense,0,0,0,0,0,0,True,,
1225560,Unravel,11,11,0,0,1724185157,0,True,,
1225570,Unravel Two,0,0,0,0,0,0,True,,
